Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,19.000000,19.799999,18.650000,19.049999,15.901787,89144982
2019-04-12,19.299999,19.900000,19.200001,19.750000,16.486107,29799546
2019-04-15,20.000000,23.700001,19.900000,23.650000,19.741589,80684771
2019-04-16,24.500000,26.950001,24.200001,25.600000,21.369329,98193853
2019-04-18,26.350000,26.850000,25.150000,26.150000,21.828438,49134384
2019-04-22,26.250000,26.400000,24.299999,24.600000,20.534592,27638075
2019-04-23,24.500000,24.650000,23.000000,23.250000,19.407690,23479783
2019-04-24,23.450001,24.200001,23.350000,23.700001,19.783327,10435909
2019-04-25,23.950001,24.150000,23.200001,23.500000,19.616379,9656994
2019-04-26,23.500000,23.650000,22.950001,23.049999,19.240744,7087998
2019-04-30,23.049999,23.049999,21.200001,22.049999,18.406004,12865523
2019-05-02,22.049999,24.450001,22.049999,23.900000,19.950274,21855261
2019-05-03,24.200001,24.350000,23.100000,23.150000,19.324219,7641982
2019-05-06,22.750000,23.100000,22.200001,22.700001,18.948587,4701329
2019-05-07,23.200001,23.549999,22.700001,22.799999,19.032061,4706773
2019-05-08,22.700001,23.000000,22.500000,22.600000,18.865112,4409931
2019-05-09,22.500000,23.200001,22.500000,22.799999,19.032061,5263687
2019-05-10,23.000000,23.100000,22.600000,22.700001,18.948587,3917012
2019-05-13,22.799999,22.900000,21.850000,22.000000,18.364271,6530467
2019-05-14,21.299999,22.000000,21.299999,21.850000,18.239058,4430457
2019-05-15,21.900000,22.400000,21.750000,21.850000,18.239058,2788664
2019-05-16,22.000000,22.049999,21.500000,21.750000,18.155582,2618948
2019-05-17,21.700001,22.400000,21.450001,22.100000,18.447746,4058030
2019-05-20,24.200001,24.500000,22.799999,23.900000,19.950274,10019136
2019-05-21,24.000000,24.100000,23.100000,23.350000,19.491169,3911699
2019-05-22,23.150000,24.000000,22.900000,23.900000,19.950274,4219518
2019-05-23,24.500000,25.200001,23.500000,23.750000,19.825062,13788157
2019-05-24,24.150000,26.000000,23.549999,25.600000,21.369329,24360607
2019-05-27,26.000000,28.049999,25.750000,27.799999,23.205757,35706613
2019-05-28,28.200001,29.900000,27.400000,29.000000,24.207445,40083414
2019-05-29,29.200001,29.750000,27.549999,28.750000,23.998760,25180226
2019-05-30,29.000000,29.500000,27.700001,28.299999,23.623127,15230422
2019-05-31,28.150000,28.200001,26.549999,27.000000,22.537966,16861938
2019-06-03,26.900000,27.000000,25.850000,26.250000,21.911915,10780479
2019-06-04,26.200001,28.350000,25.700001,27.650000,23.080547,29326652
2019-06-06,27.900000,28.350000,27.350000,27.850000,23.247496,16563302
2019-06-07,28.150000,28.299999,27.150000,27.450001,22.913601,8855839
2019-06-10,27.500000,27.850000,26.400000,26.750000,22.329283,8182783
2019-06-11,26.750000,26.850000,26.000000,26.150000,21.828438,7696976
2019-06-12,26.200001,26.750000,25.850000,25.900000,21.619753,6350179
2019-06-13,25.950001,26.299999,25.750000,25.900000,21.619753,4674283
